new_ids,song,type,region,glottocode
NHS2-E7QN,NHS2-0295,Work,Central Africa,poke1238
NHS2-UL4E,NHS2-0297,Healing,Central Africa,west2458
NHS2-M0QV,NHS2-0298,Healing,Central Africa,west2721
NHS2-50PO,NHS2-0299,Story,Central Africa,yaka1272
NHS2-HBHZ,NHS2-0300,Story,Central Africa,bamb1264
NHS2-YTTL,NHS2-0303,Dance,Central America,gari1256
NHS2-K0S3,NHS2-0304,Love,Central America,vinc1243
NHS2-13WN,NHS2-0305,Love,Central America,gari1256
NHS2-LO2V,NHS2-0306,Dance,Central America,gari1256
NHS2-L4ES,NHS2-0307,Praise,Central America,gari1256
NHS2-O4O6,NHS2-0308,Procession,Maya Area,gari1256
NHS2-7LJJ,NHS2-0309,Procession,Maya Area,gari1256
NHS2-UVHG,NHS2-0310,Story,Maya Area,gari1256
NHS2-7O44,NHS2-0311,Story,Maya Area,gari1256
NHS2-D9WG,NHS2-0312,Work,Maya Area,gari1256
NHS2-ATWM,NHS2-0313,Story,Central America,misk1235
NHS2-O0LK,NHS2-0314,Story,Central America,misk1235
NHS2-WQYY,NHS2-0315,Story,Central America,west2854
NHS2-IE0N,NHS2-0316,Story,Central America,sana1297
NHS2-R2EN,NHS2-0317,Story,Central America,nica1252
NHS2-9K3U,NHS2-0318,Dance,Northwestern South America,choc1280
NHS2-5BTW,NHS2-0319,Healing,Central America,nort2972
NHS2-KSRM,NHS2-0320,Healing,Central America,nort2972
NHS2-SF43,NHS2-0321,Dance,Central America,pipi1250
NHS2-PX6B,NHS2-0322,Healing,Central America,sanb1242
NHS2-E1MN,NHS2-0324,Lullaby,Central America,sanb1242
NHS2-2KUR,NHS2-0325,Lullaby,Central America,sanb1242
NHS2-HRC7,NHS2-0327,Love,Central America,stan1288
NHS2-PB4T,NHS2-0328,Lullaby,Central America,stan1288
NHS2-X1WQ,NHS2-0329,Lullaby,Central America,stan1288
NHS2-J69Y,NHS2-0330,Lullaby,Central America,stan1288
NHS2-9TJI,NHS2-0331,Praise,Central America,stan1288
NHS2-ZCTI,NHS2-0332,Praise,Central America,stan1288
NHS2-AD22,NHS2-0333,Praise,Central America,stan1288
NHS2-7J2N,NHS2-0334,Praise,Central America,stan1288
NHS2-S6AP,NHS2-0335,Praise,Central America,stan1288
NHS2-DGE5,NHS2-0336,Story,Central America,nica1252
NHS2-6U9V,NHS2-0337,Dance,Central Andes,coca1259
NHS2-DG59,NHS2-0338,Love,Central Andes,ayac1239
NHS2-6NUZ,NHS2-0339,Mourning,Central Andes,ayac1239
NHS2-ERSV,NHS2-0340,Praise,Central Andes,ayac1239
NHS2-LEX9,NHS2-0341,Work,Central Andes,ayac1239
NHS2-ZRGY,NHS2-0342,Healing,Northwestern South America,ecua1248
NHS2-JRIA,NHS2-0343,Lullaby,Central Andes,cent2142
NHS2-706E,NHS2-0344b,Mourning,Central Andes,nucl1667
NHS2-42H9,NHS2-0346,Work,Central Andes,cent2142
NHS2-ZGKC,NHS2-0347,Healing,Northwestern South America,chac1249
NHS2-XJ7U,NHS2-0348,Healing,Northwestern South America,chac1249
NHS2-EPF6,NHS2-0355,Lullaby,Central Andes,cusc1236
NHS2-MY33,NHS2-0357,Procession,Central Andes,cusc1236
NHS2-74S4,NHS2-0358,Story,Central Andes,cusc1236
NHS2-HMC7,NHS2-0359,Play,Northwestern South America,stan1288
NHS2-9P04,NHS2-0363,Lullaby,Central Andes,ship1254
NHS2-CN26,NHS2-0364,Dance,Central Andes,jiva1245
NHS2-4H1R,NHS2-0365,Procession,Central Andes,sout2991
NHS2-FVGG,NHS2-0366,Procession,Central Andes,sout2996
NHS2-2FZK,NHS2-0369,Love,Central Asia,bukh1238
NHS2-340R,NHS2-0371,Love,Central Asia,bukh1238
NHS2-C2VY,NHS2-0373,Dance,Central Asia,bukh1238
NHS2-CS8N,NHS2-0374,Mourning,Central Asia,buru1296
NHS2-R09B,NHS2-0375,Love,Central Asia,dari1249
NHS2-LF3O,NHS2-0377,Lullaby,Central Asia,kara1467
NHS2-ZTKY,NHS2-0379,Work,Central Asia,kaza1248
NHS2-FM7L,NHS2-0381,Story,Central Asia,kirg1245
NHS2-URYE,NHS2-0382,Work,Central Asia,nort2646
NHS2-PBI3,NHS2-0383,Love,Caucasus,nucl1235
NHS2-OW5R,NHS2-0384,Love,Caucasus,nucl1235
NHS2-VVZF,NHS2-0386,Love,Central Asia,taji1245
NHS2-UJ0X,NHS2-0387,Love,Central Asia,taji1245
NHS2-7M2U,NHS2-0389,Love,Central Asia,taji1245
NHS2-BPA8,NHS2-0390,Love,Central Asia,taji1245
NHS2-M00Z,NHS2-0391,Praise,Central Asia,shug1248
NHS2-G277,NHS2-0392,Healing,Central Asia,tuvi1240
NHS2-2ZO6,NHS2-0393,Lullaby,Central Asia,tuvi1240
NHS2-0NQ8,NHS2-0394,Mourning,Central Asia,tuvi1240
NHS2-KZJ0,NHS2-0395,Praise,Central Asia,tuvi1240
NHS2-YG7G,NHS2-0398,Healing,Central Asia,uigh1240
NHS2-MWH7,NHS2-0401,Love,Central Asia,uigh1240
NHS2-XQVH,NHS2-0405,Work,Central Europe,bava1246
NHS2-7A2U,NHS2-0406,Love,Central Europe,czec1258
NHS2-XYGX,NHS2-0407,Lullaby,Central Europe,czec1258
NHS2-E879,NHS2-0408,Dance,Central Europe,hung1274
NHS2-IU31,NHS2-0410,Lullaby,Central Europe,hung1274
NHS2-LVNB,NHS2-0411,Mourning,Central Europe,hung1274
NHS2-I7H2,NHS2-0412,Mourning,Central Europe,hung1274
NHS2-YN1A,NHS2-0414,Work,Central Europe,hung1274
NHS2-D7UD,NHS2-0415,Praise,Central Europe,kash1274
NHS2-G82R,NHS2-0416,Dance,Central Europe,poli1260
NHS2-9RD9,NHS2-0417,Mourning,Central Europe,roma1327
NHS2-BZJ0,NHS2-0418,Procession,Central Europe,roma1327
NHS2-HELI,NHS2-0419,Love,Central Europe,slov1269
NHS2-3370,NHS2-0424,Lullaby,Central Europe,stan1295
NHS2-0NL4,NHS2-0426,Story,Central Europe,stan1295
NHS2-QR1J,NHS2-0427,Work,Central Europe,stan1295
NHS2-TTHU,NHS2-0428,Work,Central Europe,stan1295
NHS2-6R84,NHS2-0429,Work,Central Europe,lowg1239
NHS2-HO68,NHS2-0450,Work,Central Mexico,elna1235
NHS2-966Z,NHS2-0451,Work,Central Mexico,elna1235
NHS2-QIQS,NHS2-0456,Healing,Central Mexico,huau1238
NHS2-VA7K,NHS2-0460,Dance,Central Mexico,huic1243
NHS2-UYG4,NHS2-0461,Dance,Central Mexico,huic1243
NHS2-XTHW,NHS2-0464,Healing,Central Mexico,huic1243
NHS2-5W5A,NHS2-0469,Procession,Central Mexico,huic1243
NHS2-UDOB,NHS2-0477,Play,Central Mexico,mezq1235
NHS2-2C5Q,NHS2-0483,Love,Central Mexico,pure1242
NHS2-3XWB,NHS2-0484,Love,Central Mexico,pure1242
NHS2-0NMW,NHS2-0487,Praise,Central Mexico,pure1242
NHS2-0CO2,NHS2-0488,Love,Central Mexico,pure1242
NHS2-AZDQ,NHS2-0497,Story,Central Mexico,stan1288
NHS2-OS0A,NHS2-0498,Story,Central Mexico,stan1288
NHS2-EYN4,NHS2-0499,Story,Central Mexico,stan1288
NHS2-UOE5,NHS2-0500,Story,Central Mexico,stan1288
NHS2-3WPM,NHS2-0501,Story,Central Mexico,stan1288
NHS2-5H86,NHS2-0504,Dance,East Asia,ainu1240
NHS2-KTO4,NHS2-0505,Love,East Asia,ainu1240
NHS2-4RBL,NHS2-0507,Lullaby,East Asia,ainu1240
NHS2-R4T4,NHS2-0516,Work,East Asia,amis1246
NHS2-6N1B,NHS2-0517,Love,East Asia,atay1247
NHS2-NSJK,NHS2-0518,Praise,East Asia,bunu1267
NHS2-BK1J,NHS2-0519,Healing,East Asia,bunu1267
NHS2-P3GF,NHS2-0520,Healing,East Asia,bunu1267
NHS2-CDWZ,NHS2-0522,Work,East Asia,bunu1267
NHS2-VBEZ,NHS2-0523,Lullaby,East Asia,cent2126
NHS2-0459,NHS2-0524,Work,East Asia,cent2126
NHS2-JWTY,NHS2-0525,Healing,East Asia,kore1280
NHS2-ZWHJ,NHS2-0526,Mourning,East Asia,kore1280
NHS2-NQ2U,NHS2-0530,Story,East Asia,kore1280
NHS2-5THI,NHS2-0531,Story,East Asia,kore1280
NHS2-IAY0,NHS2-0532,Story,East Asia,kore1280
NHS2-U1QE,NHS2-0533,Work,East Asia,kore1280
NHS2-2OS6,NHS2-0536,Work,East Asia,mand1415
NHS2-PFF9,NHS2-0538,Love,East Asia,nucl1643
NHS2-XD70,NHS2-0539,Play,East Asia,nucl1643
NHS2-BLC6,NHS2-0540,Story,East Asia,nucl1643
NHS2-Z83P,NHS2-0541,Work,East Asia,nucl1643
NHS2-7XOX,NHS2-0542,Work,East Asia,nucl1643
NHS2-WBRK,NHS2-0543,Procession,East Asia,paiw1248
NHS2-QKS7,NHS2-0547,Work,East Asia,puyu1239
NHS2-SAZD,NHS2-0548,Work,East Asia,puyu1239
NHS2-506Y,NHS2-0549,Love,East Asia,ruka1240
NHS2-BBPJ,NHS2-0555,Dance,East Asia,nort2935
NHS2-4KJ4,NHS2-0556,Love,East Asia,okin1245
NHS2-FLYQ,NHS2-0557,Mourning,East Asia,nort2935
NHS2-ED96,NHS2-0558,Dance,East Asia,nort2935
NHS2-I88T,NHS2-0559,Love,East Asia,baic1239
NHS2-X0I4,NHS2-0561,Story,East Asia,yami1254
NHS2-VRBB,NHS2-0563,Lullaby,Eastern Africa,acol1236
NHS2-P594,NHS2-0564,Play,Eastern Africa,acol1236
NHS2-79G9,NHS2-0566,Work,Eastern Africa,afar1241
NHS2-Z7UP,NHS2-0567,Play,Eastern Africa,alur1250
NHS2-C07W,NHS2-0569,Love,Eastern Africa,amha1245
NHS2-HFUR,NHS2-0570,Praise,Eastern Africa,amha1245
NHS2-BU0J,NHS2-0571,Lullaby,Eastern Africa,chig1238
NHS2-OEHE,NHS2-0572,Procession,Eastern Africa,dizi1235
NHS2-NIM5,NHS2-0575,Healing,Eastern Africa,gand1255
NHS2-GXXC,NHS2-0576,Lullaby,Eastern Africa,gand1255
NHS2-O5RD,NHS2-0577,Play,Eastern Africa,gand1255
NHS2-QQ8E,NHS2-0594,Play,Eastern Africa,kara1483
NHS2-3U9L,NHS2-0595,Procession,Eastern Africa,kara1483
NHS2-0ERR,NHS2-0596,Work,Eastern Africa,kara1483
NHS2-2G3N,NHS2-0598,Play,Eastern Africa,kups1238
NHS2-NHW2,NHS2-0599,Story,Eastern Africa,madi1260
NHS2-BMGH,NHS2-0601,Dance,Eastern Africa,masa1300
NHS2-F8W7,NHS2-0607,Lullaby,Eastern Africa,nyan1315
NHS2-U904,NHS2-0612,Play,Eastern Africa,soga1242
NHS2-61T0,NHS2-0625,Lullaby,Eastern Europe,esto1258
NHS2-P5JI,NHS2-0627,Story,Central Asia,kaza1248
NHS2-YJU7,NHS2-0629,Story,Eastern Europe,komi1269
NHS2-155V,NHS2-0632,Lullaby,Eastern Europe,latv1249
NHS2-9HTB,NHS2-0636,Lullaby,Eastern Europe,lith1251
NHS2-06FQ,NHS2-0641,Dance,Eastern Europe,russ1263
NHS2-AO12,NHS2-0642,Dance,Eastern Europe,russ1263
NHS2-EOY7,NHS2-0644,Love,Eastern Europe,russ1263
NHS2-7TL9,NHS2-0645,Love,Eastern Europe,russ1263
NHS2-5S2Y,NHS2-0646,Lullaby,Eastern Europe,russ1263
NHS2-UBTJ,NHS2-0647,Lullaby,Eastern Europe,russ1263
NHS2-4IIR,NHS2-0648,Mourning,Eastern Europe,russ1263
NHS2-UY25,NHS2-0649,Play,Eastern Europe,russ1263
NHS2-1C8B,NHS2-0650,Play,Eastern Europe,russ1263
NHS2-FMYE,NHS2-0651,Play,Eastern Europe,russ1263
NHS2-RNFL,NHS2-0652,Procession,Eastern Europe,russ1263
NHS2-10S6,NHS2-0653,Procession,Eastern Europe,russ1263
NHS2-VLYL,NHS2-0655,Story,North Asia,russ1263
NHS2-ZVHE,NHS2-0657,Work,Eastern Europe,russ1263
NHS2-MGHC,NHS2-0658,Dance,Eastern Europe,udmu1245
NHS2-UH4B,NHS2-0659,Love,Eastern Europe,udmu1245
NHS2-ZHE1,NHS2-0660,Lullaby,Eastern Europe,udmu1245
NHS2-17SD,NHS2-0661,Mourning,Eastern Europe,udmu1245
NHS2-44OX,NHS2-0663,Play,Eastern Europe,udmu1245
NHS2-I699,NHS2-0665,Work,Eastern Europe,mari1278
NHS2-7YXU,NHS2-0667,Mourning,Eastern South America,kain1272
NHS2-X35A,NHS2-0669,Lullaby,Eastern South America,kara1500
NHS2-K4KT,NHS2-0671a,Story,Eastern South America,kuik1246
NHS2-JIGG,NHS2-0671b,Story,Eastern South America,kuik1246
NHS2-CRM7,NHS2-0671c,Story,Eastern South America,kuik1246
NHS2-0OOB,NHS2-0671d,Story,Eastern South America,kuik1246
NHS2-BCPU,NHS2-0673,Dance,Eastern South America,pali1279
NHS2-7SRW,NHS2-0676,Love,Eastern South America,para1319
NHS2-613U,NHS2-0678,Dance,Eastern South America,port1283
NHS2-56CV,NHS2-0679,Healing,Eastern South America,port1283
NHS2-ALKM,NHS2-0680,Healing,Eastern South America,port1283
