new_ids,song,type,region,glottocode
NHS2-L84K,NHS2-1455,Mourning,Southern Africa,lala1264
NHS2-I4V5,NHS2-1457,Dance,Southern Africa,lozi1239
NHS2-MC84,NHS2-1459,Dance,Southern Africa,maha1309
NHS2-WFE1,NHS2-1464,Healing,Southern Africa,mbuk1240
NHS2-PEN8,NHS2-1465,Lullaby,Southern Africa,nama1264
NHS2-OBH8,NHS2-1466,Healing,Southern Africa,naro1249
NHS2-HKI9,NHS2-1467,Healing,Southern Africa,tshw1239
NHS2-JFOZ,NHS2-1468,Healing,Southern Africa,naro1249
NHS2-NI78,NHS2-1469,Mourning,Southern Africa,ngon1269
NHS2-TW9J,NHS2-1471,Love,Southern Africa,ndon1254
NHS2-K1GM,NHS2-1472,Dance,Southern Africa,seng1277
NHS2-RCVU,NHS2-1473,Procession,Southern Africa,nort2795
NHS2-XAH8,NHS2-1474,Mourning,Southern Africa,nsen1242
NHS2-R269,NHS2-1475,Work,Southern Africa,nsen1242
NHS2-7XBW,NHS2-1477,Lullaby,Southern Africa,nyan1308
NHS2-KR0Z,NHS2-1478,Mourning,Southern Africa,nsen1242
NHS2-Y6R3,NHS2-1479,Play,Southern Africa,nyan1308
NHS2-I71D,NHS2-1481,Procession,Southern Africa,nyan1308
NHS2-Z6NC,NHS2-1482,Lullaby,Southern Africa,nort3233
NHS2-EOAH,NHS2-1495,Story,Southern Africa,duma1252
NHS2-SCTO,NHS2-1498,Work,Southern Africa,zezu1238
NHS2-UJ4Z,NHS2-1499,Lullaby,Southern Africa,sout2807
NHS2-ZRPA,NHS2-1504,Work,Southern Africa,sout2807
NHS2-TFM3,NHS2-1506,Lullaby,Southern Africa,swat1243
NHS2-8FCW,NHS2-1508,Work,Southern Africa,tson1249
NHS2-C5L4,NHS2-1509,Play,Southern Africa,tswa1253
NHS2-3IQ4,NHS2-1510,Play,Southern Africa,tswa1253
NHS2-NPYD,NHS2-1511,Praise,Southern Africa,tswa1253
NHS2-56CF,NHS2-1512,Praise,Southern Africa,tswa1253
NHS2-T2OE,NHS2-1513,Play,Southern Africa,tumb1250
NHS2-H187,NHS2-1514,Story,Southern Africa,tumb1250
NHS2-WO9S,NHS2-1515a,Play,Southern Africa,vend1245
NHS2-UO2B,NHS2-1515b,Play,Southern Africa,vend1245
NHS2-JJPZ,NHS2-1516,Story,Southern Africa,vend1245
NHS2-NI7X,NHS2-1517,Dance,Southern Africa,xhos1239
NHS2-4BXQ,NHS2-1519,Love,Southern Africa,xhos1239
NHS2-8LF0,NHS2-1520,Love,Southern Africa,xhos1239
NHS2-59RG,NHS2-1522,Lullaby,Southern Africa,xhos1239
NHS2-PN13,NHS2-1523,Lullaby,Southern Africa,xhos1239
NHS2-UPIC,NHS2-1526,Praise,Southern Africa,xhos1239
NHS2-0Q6G,NHS2-1527,Praise,Southern Africa,xhos1239
NHS2-UELN,NHS2-1528,Procession,Southern Africa,xhos1239
NHS2-6JVA,NHS2-1530,Work,Southern Africa,xhos1239
NHS2-42U2,NHS2-1532,Lullaby,Southern Africa,yaoo1241
NHS2-UF4Y,NHS2-1534,Love,Southern Africa,zulu1248
NHS2-IO1X,NHS2-1535,Love,Southern Africa,zulu1248
NHS2-60WA,NHS2-1536,Love,Southern Africa,zulu1248
NHS2-KAEC,NHS2-1537,Lullaby,Southern Africa,zulu1248
NHS2-4MJ7,NHS2-1540,Work,Southern Europe,cala1254
NHS2-7CEW,NHS2-1543,Dance,Southern Europe,napo1241
NHS2-GNQV,NHS2-1548,Lullaby,Southern Europe,piem1238
NHS2-W3SC,NHS2-1549,Praise,Southern Europe,emil1243
NHS2-GBI2,NHS2-1552,Mourning,Southern Europe,port1283
NHS2-R4RL,NHS2-1553,Praise,Southern Europe,port1283
NHS2-ERIP,NHS2-1554,Procession,Southern Europe,port1283
NHS2-0CKA,NHS2-1555,Work,Southern Europe,port1283
NHS2-6BT9,NHS2-1556,Love,Southern Europe,sard1257
NHS2-0ZIH,NHS2-1557,Love,Southern Europe,sard1257
NHS2-AOJA,NHS2-1558,Love,Southern Europe,sard1257
NHS2-JGOO,NHS2-1559,Praise,Southern Europe,sici1248
NHS2-XRSU,NHS2-1567,Play,Southern Europe,stan1288
NHS2-XC4A,NHS2-1568,Play,Southern Europe,stan1288
NHS2-NQLQ,NHS2-1569,Play,Southern Europe,stan1288
NHS2-DGOE,NHS2-1573,Love,Southern South America,mapu1245
NHS2-GAOV,NHS2-1575,Dance,Southern South America,onaa1245
NHS2-GL6J,NHS2-1577,Healing,Southern South America,onaa1245
NHS2-SPEE,NHS2-1578,Lullaby,Southern South America,onaa1245
NHS2-9HLO,NHS2-1579,Mourning,Southern South America,onaa1245
NHS2-IZJ7,NHS2-1579a,Mourning,Southern South America,onaa1245
NHS2-B94G,NHS2-1580,Mourning,Southern South America,onaa1245
NHS2-HWFE,NHS2-1580a,Mourning,Southern South America,onaa1245
NHS2-VDWK,NHS2-1585,Love,Southern South America,qawa1238
NHS2-1DCV,NHS2-1586,Love,Southern South America,qawa1238
NHS2-1I26,NHS2-1587,Lullaby,Southern South America,qawa1238
NHS2-DI16,NHS2-1588,Play,Southern South America,qawa1238
NHS2-ZONP,NHS2-1589,Play,Southern South America,qawa1238
NHS2-AEWX,NHS2-1593,Praise,Southern South America,sout2996
NHS2-CCP4,NHS2-1594,Praise,Southern South America,sout2996
NHS2-S48T,NHS2-1595,Procession,Southern South America,sout2996
NHS2-085Q,NHS2-1596,Procession,Southern South America,sout2996
NHS2-5B0Y,NHS2-1597,Dance,Southern South America,stan1288
NHS2-FG2C,NHS2-1598,Lullaby,Southern South America,stan1288
NHS2-V0ZT,NHS2-1599,Dance,Southern South America,mata1291
NHS2-ZLK3,NHS2-1600,Dance,Southern South America,mata1291
NHS2-6IKY,NHS2-1601,Healing,Southern South America,wich1262
NHS2-KESR,NHS2-1602,Mourning,Southern South America,wich1262
NHS2-PJDT,NHS2-1603,Mourning,Southern South America,wich1262
NHS2-PLYB,NHS2-1609,Mourning,Southwest and Basin,hava1248
NHS2-4EAD,NHS2-1610,Dance,Southwest and Basin,hopi1249
NHS2-E5T5,NHS2-1611,Lullaby,Southwest and Basin,hopi1249
NHS2-MQZS,NHS2-1613,Dance,Southwest and Basin,hopi1249
NHS2-3RY9,NHS2-1617,Work,Southwest and Basin,huic1243
NHS2-66IN,NHS2-1618,Dance,Southwest and Basin,kere1287
NHS2-XGAI,NHS2-1619,Dance,Southwest and Basin,kere1287
NHS2-J5AX,NHS2-1620,Praise,Southwest and Basin,kiow1266
NHS2-BHQB,NHS2-1621,Lullaby,Plains,kiow1266
NHS2-8J4L,NHS2-1626,Healing,Southwest and Basin,quec1382
NHS2-9BBS,NHS2-1627,Lullaby,Caribbean,stan1288
NHS2-4N10,NHS2-1628,Play,Central Mexico,stan1288
NHS2-YURR,NHS2-1629,Play,Central Mexico,stan1288
NHS2-6RXG,NHS2-1630,Play,Central Mexico,stan1288
NHS2-IY3T,NHS2-1631,Play,Southwest and Basin,stan1288
NHS2-2NZO,NHS2-1632,Praise,Southwest and Basin,tewa1260
NHS2-44DS,NHS2-1633,Dance,Southwest and Basin,toho1245
NHS2-0DNB,NHS2-1635,Dance,Southwest and Basin,toho1245
NHS2-5W94,NHS2-1637,Story,Southwest and Basin,toho1245
NHS2-WZ7J,NHS2-1641,Story,Southwest and Basin,toho1245
NHS2-K39B,NHS2-1642,Story,Southwest and Basin,toho1245
NHS2-RSEC,NHS2-1644,Lullaby,Southwest and Basin,zuni1245
NHS2-3MPW,NHS2-1645,Dance,Southwest and Basin,zuni1245
NHS2-9YBX,NHS2-1646,Dance,Western Africa,akan1250
NHS2-XRSS,NHS2-1647,Healing,Western Africa,baou1238
NHS2-NFZO,NHS2-1648,Mourning,Western Africa,akan1250
NHS2-I3W7,NHS2-1651,Lullaby,Central Africa,bafu1246
NHS2-NS9J,NHS2-1654,Praise,Western Africa,bulu1251
NHS2-M2W6,NHS2-1655,Praise,Western Africa,bulu1251
NHS2-5NN8,NHS2-1656,Story,Western Africa,bulu1251
NHS2-RVXZ,NHS2-1657,Work,Western Africa,bulu1251
NHS2-OXV1,NHS2-1658,Love,Western Africa,cent2018
NHS2-1K35,NHS2-1659,Work,Central Africa,duma1253
NHS2-08KZ,NHS2-1660,Work,Central Africa,duma1253
NHS2-QAHO,NHS2-1661,Dance,Western Africa,ewee1241
NHS2-914A,NHS2-1664,Praise,Western Africa,jola1263
NHS2-M6X4,NHS2-1665,Procession,Western Africa,jola1263
NHS2-2UTZ,NHS2-1666,Work,Western Africa,jola1263
NHS2-SGKE,NHS2-1671,Praise,Western Africa,nucl1347
NHS2-X86V,NHS2-1674,Lullaby,Western Africa,tama1365
NHS2-06LY,NHS2-1675,Work,Central Africa,wuzl1236
NHS2-6ZL9,NHS2-1676,Dance,Western Europe,basq1248
NHS2-733A,NHS2-1677,Love,Western Europe,basq1248
NHS2-E2SX,NHS2-1678,Love,Western Europe,basq1248
NHS2-TBBB,NHS2-1679,Lullaby,Western Europe,basq1248
NHS2-YLV9,NHS2-1681,Praise,Western Europe,basq1248
NHS2-J2V9,NHS2-1682,Praise,Western Europe,basq1248
NHS2-MF7G,NHS2-1683,Story,Western Europe,dutc1256
NHS2-WGYL,NHS2-1686,Work,Western Europe,dutc1256
NHS2-LFJR,NHS2-1690,Story,Western Europe,dutc1256
NHS2-ZAHV,NHS2-1691,Lullaby,Western Europe,dutc1256
NHS2-R21G,NHS2-1693,Story,Western Europe,dutc1256
NHS2-QNJC,NHS2-1694,Story,Western Europe,dutc1256
NHS2-KG5I,NHS2-1695,Story,Western Europe,dutc1256
NHS2-OAVX,NHS2-1696,Story,Western Europe,dutc1256
NHS2-RHJB,NHS2-1697,Story,Western Europe,dutc1256
NHS2-EOJ6,NHS2-1698,Story,Western Europe,dutc1256
NHS2-SJTH,NHS2-1699,Story,Western Europe,dutc1256
NHS2-U14O,NHS2-1701,Love,Western Europe,stan1295
NHS2-V3L7,NHS2-1702,Dance,Western Europe,auve1239
NHS2-KH0L,NHS2-1703,Dance,Western Europe,auve1239
NHS2-JDTL,NHS2-1707,Lullaby,Western Europe,stan1290
NHS2-OU7B,NHS2-1710,Lullaby,Western Europe,stan1290
NHS2-ZJ3C,NHS2-1713,Procession,Western Europe,stan1290
NHS2-2PWX,NHS2-1714,Work,Western Europe,berr1239
NHS2-VP4X,NHS2-1715,Dance,Western Europe,wall1255
NHS2-OTJS,NHS2-0744,Dance,Maya Area,maya1287
NHS2-RCXO,NHS2-0528,Praise,East Asia,kore1280
NHS2-NA1E,NHS2-0643,Healing,Eastern Europe,udmu1245
NHS2-GSNT,NHS2-1295,Healing,Southeast Asia,eipo1242
NHS2-G9MC,NHS2-1300,Work,Southeast Asia,hanu1241
NHS2-WAGM,NHS2-1590,Story,Southern South America,qawa1238
NHS2-F27V,NHS2-0209,Praise,Caribbean,stan1288
NHS2-WLMB,NHS2-0210,Praise,Caribbean,stan1288
NHS2-3DYT,NHS2-0631,Dance,Eastern Europe,latv1249
NHS2-B7OB,NHS2-0637,Lullaby,Eastern Europe,lith1251
NHS2-UDQJ,NHS2-0837,Praise,Micronesia,ulit1238
NHS2-5BUU,NHS2-1052,Praise,Northwestern South America,stan1288
NHS2-XBJ8,NHS2-1229,Play,South Asia,guja1252
NHS2-19VX,NHS2-1230,Love,South Asia,hind1269
NHS2-K5DQ,NHS2-0062,Dance,Arctic and Subarctic,east2534
NHS2-XOBH,NHS2-0065,Healing,Arctic and Subarctic,east2534
NHS2-WX18,NHS2-0070,Story,Arctic and Subarctic,east2534
NHS2-IPI1,NHS2-0071,Lullaby,Arctic and Subarctic,gree1280
NHS2-8OCR,NHS2-0072,Mourning,Arctic and Subarctic,gree1280
NHS2-L9T3,NHS2-0073,Play,Arctic and Subarctic,gree1280
NHS2-FOJU,NHS2-0074,Story,Arctic and Subarctic,gree1280
NHS2-8MOZ,NHS2-1433,Lullaby,Southeastern Europe,alba1267
NHS2-EG2U,NHS2-1435,Praise,Southeastern Europe,alba1267
NHS2-Z178,NHS2-0537,Dance,East Asia,nucl1643
NHS2-KIWV,NHS2-0131,Dance,Australia,yuul1239
NHS2-3H55,NHS2-0323,Healing,Central America,sanb1242
NHS2-7HG1,NHS2-0326,Lullaby,Central America,sanb1242
NHS2-YCNL,NHS2-0353,Love,Central Andes,cusc1236
NHS2-Y7FV,NHS2-1302,Dance,Southeast Asia,indo1316
