"song","glottocode","type","region","family_id","family_name","latitude","longitude","ex_simple_lowenergy_mean","ex_simple_brightness_mean","ex_simple_roughness_mean","ex_simple_centroid_mean","ex_spectral_centroid_mean","ex_spectral_brightness_mean","ex_spectral_spread_mean","ex_spectral_skewness_mean","ex_spectral_kurtosis_mean","ex_spectral_rolloff95_mean","ex_spectral_rolloff85_mean","ex_spectral_spectenropy_mean","ex_spectral_flatness_mean","ex_spectral_roughness_mean","ex_spectral_irregularity_mean","ex_tonal_keyclarity_mean","ex_tonal_mode_mean","ex_rhythm_tempo_mean","ex_rhythm_attack_time_mean","ex_rhythm_attack_slope_mean","ex_dynamics_rms_mean","ex_spectral_centroid_std","ex_spectral_brightness_std","ex_spectral_spread_std","ex_spectral_skewness_std","ex_spectral_kurtosis_std","ex_spectral_rolloff95_std","ex_spectral_rolloff85_std","ex_spectral_spectenropy_std","ex_spectral_flatness_std","ex_spectral_roughness_std","ex_spectral_irregularity_std","ex_tonal_keyclarity_std","ex_tonal_mode_std","ex_rhythm_tempo_std","ex_rhythm_attack_time_std","ex_rhythm_attack_slope_std","ex_dynamics_rms_std"
"NHS2-V8Y5","cent1972","Praise","Middle East","indo1319","Indo-European",35.6539,45.8077,-1.17941244923871,0.473239404131608,-0.377939963694694,-0.328207789904633,-0.219939093893347,0.443286363490526,-0.67543734245236,0.609165821149396,0.52922736867554,-0.758905744555109,-0.387570907767669,-0.399710175586287,-0.453066296429534,-0.393233231098972,0.947732974121674,-0.47478983455835,0.640792193409384,-0.241398022892294,0.491680203026736,0.931518522647742,1.10579997227452,-0.346140108713797,1.66036586595367,0.392339060547017,0.0659500166031651,0.133222491886792,0.289976234795327,-0.524560461943236,0.0592623473523964,0.0080816319282287,-0.33868277684532,0.489094101643611,1.61905473521657,-0.527691560970738,-0.0634827210073785,-0.523114958546671,-0.303207334417991,-0.490827714520056
"NHS2-VA7K","huic1243","Dance","Central Mexico","utoa1244","Uto-Aztecan",21.954,-104.062,0.193097346006245,0.289850934730205,-0.365915909384728,-0.245254579179164,0.172780876745988,0.658360454501132,0.628134858822637,0.288591899587802,-0.167126581307142,0.46869918631814,-0.700616836641816,0.304327314749179,0.413451348593334,-0.356669223860868,-1.2847669539201,-0.333494184178181,0.419057946732286,-1.21216158117237,-0.51207993254906,-0.626569123340374,-0.431605900298668,0.82871794801016,0.693865488949914,2.73507943534486,1.57964728378827,0.734448210774443,2.8290158769545,2.11076157861056,0.714102293151101,2.05128154155183,0.478403336554889,1.15419342924774,1.29481068321801,0.73891888193057,2.13893587673705,-0.568714705008034,-1.09615803441408,0.767486576499853
"NHS2-VAAN","wole1240","Praise","Micronesia","aust1307","Austronesian",7.37957,143.916,-0.0180580071083696,0.163317847007543,-0.104356642813701,0.082435036280177,-0.237376469026716,0.130827837795273,-0.220734787687064,-0.178207641650629,-0.358719117105526,0.183829260789957,-0.340318692088553,0.396861742439237,-0.254668869888384,-0.0864958129075071,-0.808341787291018,-0.54405180749771,0.429360249751333,-0.237763321386432,0.157093491168134,-0.502201195550017,-0.315126216344121,1.22889594673863,1.29635359183974,0.273429102042864,0.717352816664991,0.239033583835427,0.586654793004342,0.611055539838534,0.344897996857921,0.47926783328838,0.31553421314046,-0.707661657171595,1.54734589772037,0.392461773461264,1.32128096028404,-0.277836439824741,-0.623824760678346,0.466616937256382
"NHS2-VBEZ","cent2126","Lullaby","East Asia","japo1237","Japonic",26.14854,127.7816,0.685793169940322,-0.574108863473436,-0.421110293344162,-0.549932908893697,-0.804242721239415,-1.13036936667917,0.0325940398901202,0.260495440337362,-0.0688551314900604,-0.0149648599023718,-0.930971388077508,-1.39885326348017,-0.200271779666023,-0.470149339295921,0.228353580793427,0.0356489804682492,-0.553840435057702,-2.35790217903864,0.157093491168131,-0.490676469492624,0.156110307458264,-0.160351060914991,0.444727543912895,-0.274413377450651,0.284028524072087,-0.0327671976836003,-0.0994722995469783,0.0821116759249889,0.724878523680791,-0.217892797605765,-0.501148180066479,-0.783289611751661,0.438393204099182,-0.244014313796473,-0.650276119942095,-0.366160469592538,0.843463406651424,-0.79401273030207
"NHS2-VBI9","stan1293","Story","British Isles","indo1319","Indo-European",53,-1,-0.369983595632723,0.963774246266377,-0.350500926660759,0.84161507465806,0.858407774919058,0.716691771882822,1.13108143389429,-1.14074450012232,-1.053771509975,1.15935504892963,1.3253219106003,1.05622827385892,0.989959214271693,-0.154338452200568,-0.651383536443084,-0.17789665215803,-0.751334778704009,-0.286351455610341,0.324386847097432,-0.335636201302739,-0.342038548158556,1.13105750335537,1.38271907505387,0.011012855811468,-0.360338641613039,-0.946791353930813,-0.59042441926833,0.675635538093717,0.134118280808127,0.464189466042573,0.0598836279354019,0.591170938589954,-0.188099202698932,-0.256672048036447,-0.394674341830265,0.260059943788308,-0.345730547259123,0.635981662379519
"NHS2-VBO3","finn1318","Love","Scandinavia","ural1272","Uralic",64.7628,25.5577,-0.440368713337584,0.613618591249405,1.1674140642236,0.231182451294486,0.174098736022599,0.512424423251017,-0.223660396565077,-0.051349035976137,-0.0999870314088691,-0.582655287034075,0.132203464702611,1.02627036062731,-0.107151492024385,1.10773409951558,-0.0495809385749771,0.821242335257508,0.262156985232779,0.419202002067469,-0.51207993254906,0.37379236937771,0.824911437012439,-0.0660007300196693,-0.214607359418217,0.572517331969925,-0.50188622487268,-0.445257970816657,0.397943088674094,0.0920605243095508,-1.09803109681888,0.157082019798867,0.143496196545477,-0.766523877834452,0.360672350385246,2.37819896473911,-1.32629670607208,-0.679079884246948,0.244828521095837,-1.15833134697336
"NHS2-VDT8","raro1241","Story","Polynesia","aust1307","Austronesian",-21.23,-159.78,-1.24979756694359,-0.35064428117309,-0.175773162390425,-0.492381008699794,-0.39685545536219,-0.0632240303349389,-0.5680175426116,0.401507825529033,0.24347116527488,-0.728164385685161,-0.363944799928111,0.284653562940694,-0.463310726878677,0.248073110403651,-0.477571043236905,1.86408481453263,-0.167086667300165,-0.6919431574454,-0.846666644407678,0.443453360396161,0.59967194475591,3.21217826039517,0.975759499122112,2.21038570024858,0.938624120176454,0.163681303896113,2.33096277435201,3.04210758578102,1.15665946976955,1.33498041288528,-0.215906894175219,0.730207767452977,-0.694091040013996,-0.130728221399063,-1.01314034417583,0.219901826822636,-0.628639604567635,0.712985235981349
"NHS2-VDWK","qawa1238","Love","Southern South America","kawe1237","Kawesqar",-49.303195,-74.707536,-0.545946389894899,-0.98810562369137,-0.428028479661143,-0.502574027103155,0.146963843080561,-0.598771424984219,1.73052531718034,-0.806622351958798,-0.909392455983709,1.46266978977979,0.858706280769025,-0.614437954396551,1.8366494028898,-0.495269893673247,1.64229830811659,-1.22546456820451,-0.405038989099276,-1.05805886650661,1.49544033860254,-0.0355291843619691,-0.348721875098564,2.37339499939549,2.77084440782336,1.40977273807414,0.851292265062001,-0.27377342619881,1.13191495847629,2.16525869368809,3.21260708891838,2.72652955041794,-0.697297734127787,2.40045312882025,-1.52533032047582,-1.14581421334133,1.26322714170601,0.943708710717131,-0.49959791167824,1.15870424550707
"NHS2-VEE7","maka1311","Dance","Southeast Asia","aust1307","Austronesian",-5.65551,119.838,0.0523271105965055,1.79116305313043,-0.241383559537506,1.05565153832157,1.15254974545139,1.9805253176362,-0.212756851435,-0.981098825252567,-0.775237777157264,0.360079718310992,0.640164783253112,0.909720686191621,-0.212046567021918,0.992571180898384,1.12946032996938,0.319509581539929,0.121619440854064,0.274048432377125,-0.512079932549076,-0.22468650247635,1.06089631960829,-1.14763925805219,-0.793463287903405,-1.77785806836375,-2.00568128902869,-1.23870384417781,-1.49856054811881,-1.44741674692226,-1.42269093568351,-1.26542441682361,-0.271428259456448,-1.3279545135162,1.20675781604874,0.587095996646197,1.14560092625054,-0.628313237800026,-1.23652147661662,-2.76505072491385
"NHS2-VGRT","magu1243","Lullaby","Southeast Asia","aust1307","Austronesian",6.9453,124.509,-0.581138948747323,-1.29837751093015,-0.123490586792076,-0.729436392532178,-0.663475366824386,-1.13007462289634,0.546265280419463,0.41254717346469,-0.0644312792081224,0.0772592167074716,-0.90734528023795,-0.674673790965116,0.00415316293218378,-0.153265878711357,-0.522773221112512,0.750189799906928,-0.66964693542471,-0.344295301644282,0.157093491168131,-0.879342674278007,0.553348645696411,0.465791565583819,-0.637759638050029,1.88901042922655,0.647048603388512,0.0180228245386263,2.08139570141151,1.60010454755881,0.0886179535236081,1.12660286040234,-0.57654454082042,-0.946469076482406,-0.63085759867179,-1.10961836129256,0.561903975214291,-0.59591562628947,-1.190648047819,-0.252695468240927
