song,type,region,glottocode
NHS2-VBEZ,Lullaby,East Asia,cent2126
NHS2-0459,Work,East Asia,cent2126
NHS2-JWTY,Healing,East Asia,kore1280
NHS2-ZWHJ,Mourning,East Asia,kore1280
NHS2-NQ2U,Story,East Asia,kore1280
NHS2-5THI,Story,East Asia,kore1280
NHS2-IAY0,Story,East Asia,kore1280
NHS2-U1QE,Work,East Asia,kore1280
NHS2-2OS6,Work,East Asia,mand1415
NHS2-PFF9,Love,East Asia,nucl1643
NHS2-XD70,Play,East Asia,nucl1643
NHS2-BLC6,Story,East Asia,nucl1643
NHS2-Z83P,Work,East Asia,nucl1643
NHS2-7XOX,Work,East Asia,nucl1643
NHS2-WBRK,Procession,East Asia,paiw1248
NHS2-QKS7,Work,East Asia,puyu1239
NHS2-SAZD,Work,East Asia,puyu1239
NHS2-506Y,Love,East Asia,ruka1240
NHS2-BBPJ,Dance,East Asia,nort2935
NHS2-4KJ4,Love,East Asia,okin1245
NHS2-FLYQ,Mourning,East Asia,nort2935
NHS2-ED96,Dance,East Asia,nort2935
NHS2-I88T,Love,East Asia,baic1239
NHS2-X0I4,Story,East Asia,yami1254
NHS2-RCXO,Praise,East Asia,kore1280
NHS2-Z178,Dance,East Asia,nucl1643
NHS2-VRBB,Lullaby,Eastern Africa,acol1236
NHS2-P594,Play,Eastern Africa,acol1236
NHS2-79G9,Work,Eastern Africa,afar1241
NHS2-Z7UP,Play,Eastern Africa,alur1250
NHS2-C07W,Love,Eastern Africa,amha1245
NHS2-HFUR,Praise,Eastern Africa,amha1245
NHS2-BU0J,Lullaby,Eastern Africa,chig1238
NHS2-OEHE,Procession,Eastern Africa,dizi1235
NHS2-NIM5,Healing,Eastern Africa,gand1255
NHS2-GXXC,Lullaby,Eastern Africa,gand1255
NHS2-O5RD,Play,Eastern Africa,gand1255
NHS2-QQ8E,Play,Eastern Africa,kara1483
NHS2-3U9L,Procession,Eastern Africa,kara1483
NHS2-0ERR,Work,Eastern Africa,kara1483
NHS2-2G3N,Play,Eastern Africa,kups1238
NHS2-NHW2,Story,Eastern Africa,madi1260
NHS2-BMGH,Dance,Eastern Africa,masa1300
NHS2-F8W7,Lullaby,Eastern Africa,nyan1315
NHS2-U904,Play,Eastern Africa,soga1242
NHS2-KHKQ,Mourning,Eastern Africa,pari1256
NHS2-61T0,Lullaby,Eastern Europe,esto1258
NHS2-YJU7,Story,Eastern Europe,komi1269
NHS2-155V,Lullaby,Eastern Europe,latv1249
NHS2-9HTB,Lullaby,Eastern Europe,lith1251
NHS2-06FQ,Dance,Eastern Europe,russ1263
NHS2-AO12,Dance,Eastern Europe,russ1263
NHS2-EOY7,Love,Eastern Europe,russ1263
NHS2-7TL9,Love,Eastern Europe,russ1263
NHS2-5S2Y,Lullaby,Eastern Europe,russ1263
NHS2-UBTJ,Lullaby,Eastern Europe,russ1263
NHS2-4IIR,Mourning,Eastern Europe,russ1263
NHS2-UY25,Play,Eastern Europe,russ1263
NHS2-1C8B,Play,Eastern Europe,russ1263
NHS2-FMYE,Play,Eastern Europe,russ1263
NHS2-RNFL,Procession,Eastern Europe,russ1263
NHS2-10S6,Procession,Eastern Europe,russ1263
