There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-0975,Story,Northern Mexico,Tarahumar,cent2131,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cent2131,Kick-Ball Song,"Disc 2, Track 3","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"""Kick-ball races occupy a prominent place in the games of the Tarahumares. and in Sierra communities they are held every Sunday. It is a common sight in the Sierra to see men and boys practicing for the races by kicking balls made of the madrono wood as they run along the trails. It is the ambition of every Tarahumar youth to be a great runner, and this song tells the simple story of the little boy who wanted to race up the hill with his kick-ball"" //IN LINER NOTES, PAGE 9: https://folkways-media.si.edu/liner_notes/folkways/FW08867.pdf //",1,,LOT,LGY
NHS2-0989,Story,Northern Mexico,Seri,seri1257,Yes,SON,Yes,Yes,Maybe problematic,Not problematic,Not problematic,The song is religious in nature but the use of this song is unknown (liner notes say that information is lacking),https://glottolog.org/resource/languoid/id/seri1257,Seri - Religious Song,Track 11,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"song is said to be religious in nature' //AS QUOTED IN LINER NOTES, PAGE 6 of PDF: https://folkways-media.si.edu/liner_notes/folkways/FW04413.pdf//",1,,LOT,LGY
NHS2-0993,Story,Northern Mexico,Mexican,stan1288,Yes,SON,No,Yes,Not problematic,Not problematic,Not problematic,This might have been recorded in a studio,https://glottolog.org/resource/languoid/id/stan1288,Ezequiel Rodríguez,"Disc 1, Track 5","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"In liner notes: ""This corrido is based on real events that apparently occurred in 1941, as stated in the first stanza. The murder that ..."" //track#: 1/5//album: Ballads and Corridos, 1949-1975//catalog #: ARH00367_105//Smithsonian Folkways",1,,MMX,LGY
NHS2-0994,Story,Northern Mexico,Mexican,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Los Dos Hermanos (The Two Brothers),1-Jul,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is",N/A,"""Corridos (ballad or story songs) are a relatively small part of the repertoire of the roving conjuntos (groups) which sing and play for their audiences of field workers in cantinas (taverns or bars), dance halls, on the streets, or at picnics.""//IN CONJUNTOS NORTENOS CATALOG NUMBER ARH00311_107 IN FOLKWAYS, RELEVANT INFORMATION ON PG 2 OF LINER NOTES//",1,,MMX,LGY
NHS2-0978,Work,Northern Mexico,Cora,elna1235,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/elna1235,Harvest Dance,"Disc 1, Track 4",The song is identified as such in its title or label,"Harvest Chant (Dance)//Disc 1, Track 4// Album: Anthology of Central and South American Indian Music//Catalog# FW04542_104//Smithsonian Folkways",NA,1,,MMX,LGY
NHS2-1008,Dance,Northwest Coast and California,Nuu-chah-nulth,nuuc1236,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nuuc1236,Kwekwatela dance,NA,The song is identified as such in its title or label,Dance song//GLOBAL JUKEBOX//Coding ID: 2965,NA,1,,YJS,LGY
NHS2-1011,Dance,Northwest Coast and California,Tlingit,tlin1245,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tlin1245,Tsimshian blanket dance song,"Side 2, Track 4",,12,12,1,,MDS,LGY
NHS2-1002,Healing,Northwest Coast and California,Kwakwaka'wakw,kwak1269,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kwak1269,Medicine Song,NA,The song is identified as such in its title or label,Healing song; shaman song; mystical song; medicine song//GLOBAL JUKEBOX//Coding ID: 200,NA,1,,YJS,LGY
NHS2-1003,Healing,Northwest Coast and California,Kwakwaka'wakw,kwak1269,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kwak1269,Little woman doctor song,"Side 3, Track 6",,26,26-27,1,,MDS,LGY
NHS2-1004,Love,Northwest Coast and California,Kwakwaka'wakw,kwak1269,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kwak1269,Love song,"Side 4, Track 1",,28,28-29,1,,SAM,LGY
NHS2-0999b,Lullaby,Northwest Coast and California,Tsimshian,nucl1649,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nucl1649,Tsimshian music - Lullaby,,,,,1,,,
NHS2-1000,Lullaby,Northwest Coast and California,Haida,haid1248,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/haid1248,Lullaby song,"Disc 2, Track 2",,9,"9, 12",1,,SDA,LGY
NHS2-1006,Mourning,Northwest Coast and California,Tsimshian,nucl1649,Yes,VYM,Yes,Yes,Maybe problematic,Not problematic,Maybe problematic,"Praise song >> liner notes: ""nostalgic song"" (I assume, about home); glottolog: Tsim1258",https://glottolog.org/resource/languoid/id/nucl1649,Homesick Song,NA,The song is identified as such in its title or label,Nostalgic song; Homesick song; male soloist unaccompanied//GLOBAL JUKEBOX CODING ID 1513//,NA,1,,YJS,JSL
NHS2-1005,Procession,Northwest Coast and California,Kwakwaka'wakw,kwak1269,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kwak1269,Headdress Song,NA,The song is identified as such in its title or label,Festival song; dance song; headdress song//GLOBAL JUKEBOX//Coding ID: 9285,NA,1,,YJS,LGY
NHS2-1007a,Story,Northwest Coast and California,Tsimshian,nucl1649,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nucl1649,When Going to War,NA,The song is identified as such in its title or label,"War song; male soloist unaccompanied, 85 years old//GLOBAL JUKEBOX CODING ID 1514//",NA,1,,YJS,JSL
NHS2-1007b,Story,Northwest Coast and California,Tsimshian,nucl1649,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nucl1649,War song,NA,The song is identified as such in its title or label,"War song; male soloist unaccompanied, 85 years old//GLOBAL JUKEBOX CODING ID 1514//",NA,1,,YJS,JSL
NHS2-1014,Dance,Northwestern South America,Ika,arhu1242,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/arhu1242,Chicote (version 7),Side B band 2,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"a ""Chicote"", 2 step secular dance music of the culture// Liner notes of the album ""Sacred and Profane Music of the Ika""",1,,NLC,LGY
NHS2-1022,Dance,Northwestern South America,Chachi,chac1249,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/chac1249,Festive song,Track 6,,2,5,1,,MDS,LGY
NHS2-1027,Dance,Northwestern South America,Guahibo,guah1255,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/guah1255,Dancing song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",//GLOBAL JUKEBOX//Dancing Song,//GLOBAL JUKEBOX//Dance song,1,,LAV,CMB
NHS2-1030,Dance,Northwestern South America,Embera,nort2972,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,embe1258,https://glottolog.org/resource/languoid/id/nort2972,Euphoria-Inducing Dance,NA,The song is identified as such in its title or label,Dance//GLOBAL JUKEBOX Coding ID: 9191 Audio File ID: T5524R02 Relevant info in genre field//,NA,1,,LAV,CMB
NHS2-1037,Dance,Northwestern South America,Afro-Colombian,stan1288,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,El Brazo de La Ruana,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance//GLOBAL JUKEBOX//,"Dance Song//GLOBAL JUKEBOX Coding ID: 3889, Audio File ID: T5481R02 RELEVANT INFO IN GENRE FIELD//",1,,LAV,CMB
NHS2-1038,Dance,Northwestern South America,Afro-Colombian,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Cumbia,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance//GLOBAL JUKEBOX//,"Dance Song//GLOBAL JUKEBOX Coding ID: 3891, Audio File ID: T5481R04 RELEVANT INFO IN GENRE FIELD//",1,,LAV,CMB
NHS2-1039,Dance,Northwestern South America,Afro-Colombian,stan1288,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Carmenteja,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance//GLOBAL JUKEBOX Coding ID: 4128 Audio File ID: T5481R01 Relevant info in genre field//,NA,1,,LAV,CMB
NHS2-1040,Dance,Northwestern South America,Afro-Colombian,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Merecumbe,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance//GLOBAL JUKEBOX Coding ID: 4129 Audio File ID: T5481R03 Relevant info in genre field//,NA,1,,LAV,CMB
NHS2-1015,Healing,Northwestern South America,Ika,arhu1242,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/arhu1242,Sacred Ika Incantations and Commentary,"Side B, Band 3","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Sacred Ika Incantations//Liner notes of the album ""Sacred and Profane Music of the Ika""","""a collection of the sacred medicine songs of don Jose de Jesus"", series of spirits// Album liner notes",1,,NLC,LGY
NHS2-1018,Healing,Northwestern South America,Guna,bord1248,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bord1248,Shaman's Curing Chant,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing//GLOBAL JUKEBOX Coding ID: 2242 Audio File ID: T5404R88 Relevant info in genre field//,NA,1,,LAV,CMB
NHS2-1020,Healing,Northwestern South America,Otavalo Quechua,cana1262,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cana1262,Curing Song,na,The song is identified as such in its title or label,Healing song//GLOBAL JUKEBOX CODING ID1035/ Audio File ID: T5402R84/ RELEVANT INFO IN GENRE FIELD,NA,1,,LAV,CMB
NHS2-1021,Healing,Northwestern South America,Otavalo Quechua,cana1262,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cana1262,Curing Song,NA,The song is identified as such in its title or label,Genre: Healing Song//Global Jukebox,NA,1,,NLC,CMB
NHS2-1023,Healing,Northwestern South America,Kogi,cogu1240,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cogu1240,Canto 'de curación,"Side 1, Track 7",,2,NA,1,,CMB,LGY
NHS2-1028,Healing,Northwestern South America,Guahibo,guah1255,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/guah1255,Healing Song,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing Song,//GLOBAL JUKEBOX//Healing Song; sung by older woman,1,,LAV,CMB
NHS2-1033,Healing,Northwestern South America,Jivaro,shua1257,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shua1257,Shaman Curing a Bewitched Patient,"Side 2, Band 6 (Track Number 16 on Alexander Street)","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Shaman Healing a Bewitched Patient""// Track Listing on album ""Music of the Jivaro of Ecuador""","""Solo by a shaman curing a patient of illness caused by a bewitching shaman""// Liner Notes on the album accessible through Alexander Street",1,,NLC,LGY
NHS2-1062,Healing,Northwestern South America,Waunana,woun1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/woun1238,Canta Hai,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Healing song//GLOBAL JUKEBOX Coding ID: 3855 Audio File ID: T5404R92 Relevant info in genre field//,Shaman song; spirit song; for ancestors; healing song//GLOBAL JUKEBOX Relevant info from description field//,1,,LAV,CMB
NHS2-1024,Love,Northwestern South America,Kogi,cogu1240,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cogu1240,Amores nuevos,Track 3,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is",1,3-Apr,1,,SAM,LGY
NHS2-1034,Love,Northwestern South America,Jivaro,shua1257,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shua1257,Chant dur trois rivieres,NA,The song is identified as such in its title or label,"Description: The Three Rivers, Love Song// Global Jukebox",NA,1,,NLC,LGY
NHS2-1035,Love,Northwestern South America,Jivaro,shua1257,Yes,SON,Yes,Yes,Not problematic,Not problematic,Maybe problematic,achu1248 is more specific (by global jukebox),https://glottolog.org/resource/languoid/id/shua1257,Chant sur l'oiseau toucan,NA,The song is identified as such in its title or label,Description: Toucan's Song; Love Song //Global Jukebox,NA,1,,NLC,LGY
NHS2-1060,Love,Northwestern South America,Goajiro,wayu1243,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/wayu1243,Cancion di Amor,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Song Title: Cancion di Amor//Descripton: Love Song//Source: Global Jukebox,NA,1,,NLC,CMB
NHS2-1016,Lullaby,Northwestern South America,Bari,bari1284,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bari1284,Maraca Cradle Song,NA,The song is identified as such in its title or label,Genre: Lullaby//CODING ID 2764 GLOBAL JUKEBOX// Relevant Info in the genre field,NA,1,,NLC,CMB
NHS2-1019,Lullaby,Northwestern South America,Guna,bord1248,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bord1248,Lullaby,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lullaby//GLOBAL JUKEBOX Coding ID: 2243 Audio File ID: T5404R89 Relevant info in genre field//,Lullaby; girl rocks her baby to sleep in hammock//GLOBAL JUKEBOX Relevant info in description field//,1,,LAV,CMB
NHS2-1029,Lullaby,Northwestern South America,Ye'kuana,maqu1238,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/maqu1238,Drum,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Lullaby//GLOBAL JUKEBOX Coding ID: 3418/Audio File ID: T5404R31 RELEVANT INFORMATION IN GENRE FIELD//,Lullaby//GLOBAL JUKEBOX Coding ID: 3418/Audio File ID: T5404R31 RELEVANT INFORMATION IN DESCRIPTION SECTION,1,,LAV,CMB
NHS2-1036,Lullaby,Northwestern South America,Jivaro,shua1257,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shua1257,Track 11. Lullaby (Female Solo),"Side 2, Band 1 (Track 11 on AlexanderStreet)","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Lullaby(Female Solo)""//Track Listing on ""Music of the Jivaro of Ecuador"" album","""Lullaby. sommonly [sic] sung by an older sister of the infant""// Liner Notes of the album listed on Alexander Street",1,,NLC,LGY
NHS2-1041,Lullaby,Northwestern South America,Colombian,stan1288,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Duerme Nino Pequenito,"Side 1, Band 8","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is",NA,"Purpose of album is to revive the practice o singing lullabies around the world// Liner Notes of album ""Lullabies of the World"" by Lillian Mendelssohn",1,,NLC,LGY
NHS2-1042,Lullaby,Northwestern South America,Venezuelan,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Palomita Blanca,"Side 2, Band 10","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"From a collection of lullabies, usually sung by fathers and younger sisters as the mom was usually th money earner in poorer communities//Liner Notes in album ""Lullabies of the World""",1,,NLC,LGY
NHS2-1061,Lullaby,Northwestern South America,Goajiro,wayu1243,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/wayu1243,Canción de cuna,"Side 1, Track 5",,2,3,1,,SDA,LGY
NHS2-1017,Mourning,Northwestern South America,Bari,bari1284,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bari1284,Yenakokiko,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Genre: Funeral song, burial song// CODING ID 2763 GLOBAL JUKEBOX//Relevant text in Genre field",Description: Sung when taking an exhumed body to the sacred burial cave// CODING ID 2763 GLOBAL JUKEBOX//Relevant text in Description field,1,,NLC,CMB
NHS2-1025,Mourning,Northwestern South America,Embera,embe1258,Yes,SON,Yes,Yes,Not problematic,Not problematic,Maybe problematic,no information about the language,https://glottolog.org/resource/languoid/id/embe1258,"Alavado ""Adios Primo Hermano""",Side 1 Band 6,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Un alavado which is a dirge or hymn sung as the last wake for a deceased adult//Liner Notes for the album ""Afro-Hispanic Music from Western Colombia and Ecuador""",1,,NLC,LGY
NHS2-1026,Mourning,Northwestern South America,Embera,embe1258,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,^^ looks like spanish?,https://glottolog.org/resource/languoid/id/embe1258,"Arrullo ""Aurora de La Manana""",Side 2 Band 3,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Arrullo (spirtual) often sung at the chigualo (first wake for a deceased child)//Liner Notes for the album ""Afro-Hispanic Music from Western Colombia and Ecuador""",1,,NLC,LGY
NHS2-1043,Mourning,Northwestern South America,Afro-Colombian,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Arroyo,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",MOURNING//GLOBAL JUKEBOX//Coding ID: 3888/Audio File ID: T5621R14m/,"Lullaby to a Catholic saint; possibly derived from Gregorian chants taught by missionaries to people living at that time on the West African Coast, later transported to the Caribbean by slaves, then to the Pacific coast with southern migration; sung mainly at funeral wakes",1,,LAV,CMB
NHS2-1045,Mourning,Northwestern South America,Afro-Venezuelan,stan1288,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,El Mampulorio,"Disk 2, Face A01","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Death Watch for An Infant""// Liner Notes (Plaquette de Presentation) for the album ""Folk Music of Venezuela""","""a Negro funeral rite""//Liner Notes (Plaquette de Presentation) for the album ""Folk Music of Venezuela""",1,,NLC,LGY
NHS2-1046,Mourning,Northwestern South America,Afro-Colombian,stan1288,Yes,VYM,Yes,Yes,Definitely problematic,Not problematic,Not problematic,story song,https://glottolog.org/resource/languoid/id/stan1288,Currulao Agua Grande,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Chigalo (wake song)//CODING ID 3406 GLOBAL JUKEBOX GENRE SECTION,"""sung during wake for deceased child"" //CODING ID 3406 GLOBAL JUKEBOX DESCRIPTION SECTION",1,,NLC,LGY
NHS2-1047,Play,Northwestern South America,Ecuadoran,stan1288,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Arroz con Leche,"Side 1, Band 3c","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Arroz con Leche""//Liner Notes in album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" on Smithsonian Folkways","""Holding hands, form a circle and select someone to stand in the center. As the circle moves around the child does the motions of the song""//Liner Notes in album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" on Smithsonian Folkways",1,,NLC,LGY
NHS2-1048,Play,Northwestern South America,Ecuadoran,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,"""El Puente de Aviñon""","Side 1, Band 4","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""El Puente de Avinon""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways","""Ecuadorian version of San Sereni, a popular game song of Spain and Latin America""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways",1,,NLC,LGY
NHS2-1049,Play,Northwestern South America,Ecuadoran,stan1288,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Tortitas de Tortones,"Side 1, Band 5a","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Tortitas de Tortones""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways","""Tortones are large colored beans used not only as food but also for playing games, such as this one""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways",1,,NLC,LGY
NHS2-1050,Play,Northwestern South America,Ecuadoran,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,"Liron, Liron","Side 1, Band 6b","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Liron, Liron""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways","""This game is a variant of A La Vibora de La Mar, the Spanish equivalent of London Bridge. Two platers, holdings hands high, join hands to form an arc. Before the game begins, each one selects a secret name. The children pass through the arc one at a time as the song is sung. On the last line one player is detained. The two secret names are whispered to him. He selects one and lines up behind the appropriate person. The game proceeds until everyone has been 'captured'. The game ends with a tug of war""//Liner Notes from the album ""Children's Songs and Games from Ecuador, Mexico, and Puerto Rico"" by Smithsonian Folkways",1,,NLC,LGY
NHS2-1052,Praise,Northwestern South America,Colombian,stan1288,No,VYM,No,Yes,,,,,https://glottolog.org/resource/languoid/id/stan1288,106 Y soy llanero,106,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Y Soy Llanero// Found on Album ""Si, Soy Llanero on Smithsonian Folkways""","""Written along the lines of a pasaje tradicional, this song praises the plainsman's values an exalts the memory of the two plains prototypes: Florentino, the mythical hero...and Guadelupe Salcedo, leader of the liberal guerillas.""// Found on Album ""Si, Soy Llanero on Smithsonian Folkways""",0,,NLC,LGY
NHS2-1053,Praise,Northwestern South America,Colombian,stan1288,No,VYM,No,Yes,,,,,https://glottolog.org/resource/languoid/id/stan1288,Alpargatas De Mi Tierra,Track 3,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Bambuco//Liner notes for the album COLOMBIA Niyireth: Musica Colombiana Andina (Music from Colombia),"""A song praising the good and noble nature of the Indians, as well as their craftsmanship, and how they are exploited ruthlessly by the white man even today.""//Liner notes for the album COLOMBIA Niyireth: Musica Colombiana Andina (Music from Colombia)",0,,NLC,JSL
NHS2-1054,Procession,Northwestern South America,Afro-Colombian,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,Alavado,NA,The song is identified as such in its title or label,PROCESSION//GLOBAL JUKEBOX//Coding ID: 3887/Audio File ID: T5621R13m/ RELEVANT INFO IN GENRE FIELD,Funeral song; dirge,1,,LAV,CMB
NHS2-1055,Procession,Northwestern South America,Afro-Colombian,stan1288,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,"Salve, Santa Maria Ruega Por Los Pecadores",NA,The song is identified as such in its title or label,PROCESSION//GLOBAL JUKEBOX//Coding ID: 3403/Audio File ID: T40022R01/RELEVANT INFO IN GENRE FIELD,Funeral song; wake song; saint's song; salve,1,,LAV,CMB
NHS2-1064,Procession,Northwestern South America,Bari,yukp1241,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Definitely problematic,bari1297,https://glottolog.org/resource/languoid/id/yukp1241,Wertrapa,NA,The song is identified as such in its title or label,Procession//GLOBAL JUKEBOX Coding ID: 2758 Audio File ID: T5404R66 Relevant info in genre field//,NA,1,,LAV,CMB
NHS2-1056,Story,Northwestern South America,Columbian Coastal Folk,stan1288,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/stan1288,La Mona del Cano Guate,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Story//GLOBAL JUKEBOX Coding ID: 3892 Audio File ID: T5621R11m Relevant info in description field/,About local events near Valledupar//GLOBAL JUKEBOX Relevant info in description field//,1,,LAV,CMB
NHS2-1059,Story,Northwestern South America,Waorani,waor1240,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/waor1240,Narrative Song,"Side 1, Band 1","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","""Narrative Song""//Track Listing on the album ""Lowland Tribes of Ecuador""","Tells the tale of guiding a couple through the forest and on a canoe//Liner Notes on the album ""Lowland Tribes of Ecuador""",1,,NLC,LGY
