There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-0015,Love,Amazon and Orinoco,Guahibo,guah1255,Yes,SON,Yes,Yes,Not problematic,Definitely problematic,Not problematic,Venezuela is in Northwestern South America,https://glottolog.org/resource/languoid/id/guah1255,Viajure jarba,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Genre: Love song //GLOBAL JUKEBOX CODING ID: 1805//,Description: Love song; sung in separated female choirs which have staggered recitals of the litany idea //GLOBAL JUKEBOX CODING ID: 1805//,1,,HLR,CMB
NHS2-0024,Love,Amazon and Orinoco,Kayapo,kaya1330,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kaya1330,Yuparama,NA,The song is identified as such in its title or label,Genre: Love song Description: Romantic song //GLOBAL JUKEBOX CODING ID 1926//,NA,1,,HLR,CMB
NHS2-0034,Love,Amazon and Orinoco,Saramaka,sara1340,Yes,VYM,Yes,Yes,Definitely problematic,Not problematic,Not problematic,"track 2 is actually two songs, this specific portion is the first one, which is a disaster song about a flood (story song)",https://glottolog.org/resource/languoid/id/sara1340,Untitled Sĕkĕti songs,"Side 2, Track 2",,NA,5-Jun,1,,SAM,LGY
NHS2-0038,Love,Amazon and Orinoco,Maroon,sran1240,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Definitely problematic,the maroons speak ndyuka (suri1272),https://glottolog.org/resource/languoid/id/sran1240,Prefoe mi teki wan kaartaman,NA,The song is identified as such in its title or label,"Love song // LIBRARY OF CONGRESS, AFS NUMBER: 04753 B //",NA,1,,KAH,CMB
NHS2-0047,Love,Amazon and Orinoco,Warao,wara1303,Yes,SON,No,Yes,Not problematic,Not problematic,Not problematic,Professionally recorded,https://glottolog.org/resource/languoid/id/wara1303,Mickero tiga - Black Girl,Disc 1 Track 16,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The Warrau music on this recording includes three, Mari-Mari dance instrumentals, a love song sung with a guitar accompaniment, jealous laments, an animal-acting-out song, two sporting songs whose lyrics would be unprintable in English, a drinking song said by its Warrau singer to be Arawak, a lullaby sung sweetly , and a song of leavetaking, in English, as well as an Amerindian patriotic consciousness raising piece. (the order of the song descriptions here corresponds to the ordering of the songs in the CD) // SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04239_204, RELEVANT INFO IN LINER NOTES PG. 5 //",1,,KAH,LGY
NHS2-0050,Love,Amazon and Orinoco,Wayana,waya1269,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/waya1269,Love song,Disc 1 Track 25,The song is identified as such in its title or label,"Love song // SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: HRT15012_125, RELEVANT INFO IN LINER NOTES PG. 8 //",NA,1,,KAH,LGY
NHS2-0017,Lullaby,Amazon and Orinoco,Juruna,juru1256,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/juru1256,BERCEUSE: CHANSON DU SINGE,2-Mar,The song is identified as such in its title or label,BERCEUSE: CHANSON DU SINGE //Berceuse = Lullaby; CREM CODE: CNRSMH_I_1970_030_002_03//,NA,1,,HLR,LGY
NHS2-0022,Lullaby,Amazon and Orinoco,Karaja,kara1500,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kara1500,"Javahe: Lullaby-song, mother and child",Track 14,,1,2,1,,SDA,LGY
NHS2-0030,Lullaby,Amazon and Orinoco,Ye'kuana,maqu1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/maqu1238,Lullaby,NA,The song is identified as such in its title or label,Song: Lullaby Genre: Lullaby //GLOBAL JUKEBOX CODING ID: 3418//,NA,1,,HLR,CMB
NHS2-0048,Lullaby,Amazon and Orinoco,Warao,wara1303,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/wara1303,Lullaby,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Song: Lullaby Genre: Lullaby; animal song //GLOBAL JUKEBOX CODING ID: 4032//,Description: Lullaby about a tiger; falsetto voice //GLOBAL JUKEBOX CODING ID: 4032//,1,,HLR,CMB
