Filename,Song name,Track no,Source,Link,Format,Location,Acquired?,,
NHS2-0227.wav,Azar,Track 7,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0228.wav,Lament,Track 11,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0229.wav,Hadzhi Kyaranthyku,Track 2,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0230.wav,Chantari Guagua,Track 3,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0231.wav,Ozbak,Track 17,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0233.wav,Azar,Track 13,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0234.wav,Aiba Huita,Track 15,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0235.wav,Narts,Track 20,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0236.wav,Auardin,Track 5,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212137663960003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,golden%20fleece&facet=rtype,include,sound_recordings&offset=0",cd,loeb,n,Archive of World Music  CD 17235,
NHS2-0918.wav,Lullaby,Track 31,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040164480003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Sakhaline%20:%20Musique%20Vocale%20Et%20Instrumentale",cd,loeb,n,Archive of World Music  CD 13866,
NHS2-0919.wav,Lullaby,Track 23,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040164480003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Sakhaline%20:%20Musique%20Vocale%20Et%20Instrumentale",cd,loeb,n,Archive of World Music  CD 13866,
NHS2-0920.wav,Song for Berry Picking,Track 24,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212040164480003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Sakhaline%20:%20Musique%20Vocale%20Et%20Instrumentale",cd,loeb,n,Archive of World Music  CD 13866,
NHS2-0743.wav,Ladies Dance,9,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212067264130003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Modern%20Maya:%20The%20Indian%20Music%20of%20Chiapas",cd,loeb,n,Archive of World Music  CD 11037,
NHS2-0744.wav,Bull Dance,10b,Harvard Library,"https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA212067264130003941&context=L&vid=HVD2&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=books&query=any,contains,Modern%20Maya:%20The%20Indian%20Music%20of%20Chiapas",cd,loeb,n,Archive of World Music  CD 11037,
